(True/False) Machine Learning is a subset of Artificial Intelligence,"['False', 'True']",['True']
Which of the following statements correctly defines the strengths of the DBSCAN algorithm?,"['No need to specify the number of clusters (cf. K-means), allows for noise, and can handle arbitrary-shaped clusters.', 'Do well with different density, works with just one parameter, the n_clu defines itself.', 'The algorithm will find the outliers first, draw regular shapes, works faster than other algorithms.', 'The algorithm is computationally intensive, it is sensitive to outliers, and it requires few hyperparameters to be tuned.']","['No need to specify the number of clusters (cf. K-means), allows for noise, and can handle arbitrary-shaped clusters.']"
Which of the following statements correctly defines the weaknesses of the DBSCAN algorithm?,"['The clusters it find might not be trustworthy, it needs noisy data to work, and it can’t handle subgroups.', 'It needs two parameters as input, finding appropriate values of Ɛ and n_clu can be difficult, and it does not do well with clusters of different density.', 'The algorithm will find the outliers first, it draws regular shapes, and it works faster than other algorithms.', 'The algorithm is computationally intensive, it is sensitive to outliers, and it requires too many hyperparameters to be tuned.']","['It needs two parameters as input, finding appropriate values of Ɛ and n_clu can be difficult, and it does not do well with clusters of different density.']"
(True/false) Does complete linkage refers to the maximum pairwise distance between clusters?,"['True', 'False']",['True']
Which of the following measure methods computes the inertia and pick the pair that is going to ultimately minimize the inertia value?,"['Single linkage', 'Average linkage', 'Ward linkage', 'Complete linkage']",['Ward linkage']
What is the purpose of dimensionality reduction in enterprise datasets?,"['To improve model performance by providing a ranking of the features and maximizing the features used.', 'To improve model performance by reducing the number of features used.', 'To create clusters for grouping data points.', 'To predict the target with the best accuracy.']",['To improve model performance by reducing the number of features used.']
(True/False) Principal Component Analysis reduces dimensions by identifying features that can be excluded.,"['True', 'False']",['False']
"Let's say that PCA found two principal components v1 and v2. v1 accounts for 0.5 of the total amount of variance in our dataset and v2 accounts for 0.24. Which one is more important and why?","['v1 because we will be able to maintain more of the original variance in the dataset.', 'v1 because it reduces 50% of the total variance in the dataset.', 'v2 because it accounts for lower variance in the dataset.', 'v2 because it reduces the amount of variance in the dataset.']",['v1 because we will be able to maintain more of the original variance in the dataset.']
"Select the option that best completes the following sentence:

For data with many features, principal components analysis","['identifies which features can be safely discarded', 'reduces the number of features without losing any information.', 'establishes a minimum number of viable features for use in the analysis.', 'generates new features that are linear combinations of the original features.']",['generates new features that are linear combinations of the original features.']
"Which option correctly lists the steps for implementing PCA in Python?

1. Fit PCA to data
2. Scale the data
3. Determine the desired number of components based on total explained variance
4. Define a PCA object","['4, 1, 3, 2', '2, 1, 3, 4', '4, 1, 2, 3', '2, 4, 1, 3']","['2, 4, 1, 3']"
"Given the following matrix for lengths of singular vectors, how do we rank the vectors in terms of importance?

[[11, 0, 0, 0],
[0, 3, 0, 0],
[0, 0, 2, 0],
[0, 0, 0, 1]]

v1,v2,v3,v4​","['v1,v2,v3,v4', 'v4,v3,v2,v1', 'v1,v4,v3,v2', 'v2,v3,v4,v1']","['v1,v2,v3,v4']"
"Given two principal components v1,v2, let's say that feature f1 contributed 0.15 to v1 and 0.25 to v2. Feature f2 contributed -0.11 to v1 and 0.4 to v2. Which feature is more important according to their total contribution to the components?","['v1 because 0.15+0.25>−0.11+0.4', 'v2 because −0.11+0.4<0.15+0.25', 'v2 because ∣−0.11∣+∣0.4∣>∣0.15∣+∣0.25∣', 'Neither']",['v2 because ∣−0.11∣+∣0.4∣>∣0.15∣+∣0.25∣']
"(True/False) In PCA,  the first principal component represents the most important feature in the dataset.","['True', 'False']",['False']
"Given the data visualized below with the classes represented by different colors, should PCA or kernel PCA be used, and why? [Image: static/img/1.png]","['Either is fine because the two classes are clearly separable.', 'Kernel PCA because the data is not linearly separable.', 'Neither because the data cannot be projected onto a lower dimension.', 'PCA because the data is clearly separable when projected onto a lower dimension.']",['Kernel PCA because the data is not linearly separable.']
How does the goal of MDS (Multidimensional Scaling) compare to PCA?,"['Both MDS and PCA try to to maintain geometric distances between data points.', 'Both MDS and PCA try to preserve variance within data.', 'MDS tries to maintain geometric distances between data points, whereas PCA tries to preserve variance within data.', 'PCA tries to maintain geometric distances between data points, whereas MDS tries to preserve variance within data.']","['MDS tries to maintain geometric distances between data points, whereas PCA tries to preserve variance within data.']"
"(True/False) If the number of components is equal to the dimension of the original features, kernel PCA will reconstruct the data, returning the original.","['True', 'False']",['False']
What is the main difference between kernel PCA and linear PCA?,"['The objective of linear PCA is to decrease the dimensionality of the space whereas the objective of Kernel PCA is to increase the dimensionality of the space.', 'Kernel PCA tend to uncover non-linearity structure within the dataset by increasing the dimensionality of the space thanks to the kernel trick.', 'Kernel PCA and Linear PCA are both Linear dimensionality reduction algorithm but they use a different optimization method.', 'Kernel PCA tend to preserve the geometric distances between the points while reducing the dimensionality of the space.']",['Kernel PCA tend to uncover non-linearity structure within the dataset by increasing the dimensionality of the space thanks to the kernel trick.']
(True/False) Multi-Dimensional Scaling (MDS) focuses on maintaining the geometric distances between points.,"['True', 'False']",['True']
Which of the following data types is more suitable for Kernel PCA than PCA?,"['Data where the classes are not linearly separable.', 'Data with linearly separable classes.', 'Data that do not need to be mapped to a higher dimension to distinguish categories.', 'None; they can be used interchangeably.']",['Data where the classes are not linearly separable.']
"By applying MDS, you are able to:","['Maximize distance between data points in a lower dimension.', 'Attain higher dimensions for the features.', 'Find embeddings for points so that their distance is the most similar to the original distance.', 'Preserve variance within the original data.']",['Find embeddings for points so that their distance is the most similar to the original distance.']
Which one of the following hyperparameters is NOT considered when using GridSearchCV for Kernel PCA?,"['n_clusters', 'n_components', 'gamma', 'kernels']",['n_clusters']
What is a key difference between NMF and PCA?,"['PCA finds a representation of the data in a lower dimension, whereas NMF does not.', 'The input matrix for NMF consists of only positive values.', ""NMF requires orthogonal vectors created, whereas such constraint doesn't apply for PCA."", 'NMF decomposes the original matrix, whereas PCA does not.']",['The input matrix for NMF consists of only positive values.']
In which case would you prefer using PCA over NMF?,"['When you have a linear combination of features.', 'When cancelling out with negative values is not desired.', 'When you want to decompose videos, music, or images.', 'When the original decomposition strictly contains positive values.']",['When you have a linear combination of features.']
Which of the following is the most suitable for NMF?,"['Reconstruct a text document with learned topics (features).', 'Analyze potential movements and relationships of multiple stocks.', 'Predict the price of a rental space based on location, facility, and average rent in the surrounding area.', 'Learn features for a dataset in which negative values are highly insightful and valuable.']",['Reconstruct a text document with learned topics (features).']
"(True/False) In some applications, NMF can make for more human interpretable latent features.","['True', 'False']",['True']
Which of the following set of features is the least adapted to NMF?,"['Word Count of the different words present in a text.', 'Pixel color values of a an Image.', 'Spectral decomposition of an audio file.', 'Monthly returns of a set of stock portfolios.']",['Monthly returns of a set of stock portfolios.']
(True/False) The NMF can produce different outputs depending on its initialization.,"['True', 'False']",['True']
"Which option is the sparse representation of the matrix below?

[(1, 1, 2), (1, 2, 3), (3, 4, 1), (2, 4, 4), (4, 3, 1)]","['[[2 0 0 0],
[0 3 0 0],
[0 0 0 1],
[0 4 1 0]]', '[[0 0 0 1],
[0 2 0 0],
[0 0 0 3],
[0 4 1 0]]', '[[1 0 0 0],
[0 3 0 0],
[0 2 0 0],
[0 0 4 2]]', '[[0 0 0 2],
[0 3 4 0],
[0 0 0 0],
[0 0 1 0]]']","['[[2 0 0 0],
[0 3 0 0],
[0 0 0 1],
[0 4 1 0]]']"
"In Practice lab: Non-Negative Matrix Factorization, why did we use ""pairwise_distances"" from scikit-learn?","['To calculate the maximum pairwise distance between points in the dataset.', 'To calculate the pairwise distance between NMF encoded version of the original dataset and the encoded query dataset.', 'To calculate the pairwise distance between data points for eliminating outliers.', 'To calculate the pairwise distance between points of the NMF encoded version of the original dataset.']",['To calculate the pairwise distance between NMF encoded version of the original dataset and the encoded query dataset.']
